Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.849999904632568,4.929999828338623,4.809999942779541,4.909999847412109,4.909999847412109,4746692
2021-01-05,4.840000152587891,4.860000133514404,4.800000190734863,4.840000152587891,4.840000152587891,7232543
2021-01-06,4.849999904632568,4.900000095367432,4.800000190734863,4.809999942779541,4.809999942779541,8267191
2021-01-07,4.849999904632568,4.949999809265137,4.829999923706055,4.909999847412109,4.909999847412109,8129141
2021-01-08,4.889999866485596,4.980000019073486,4.869999885559082,4.920000076293945,4.920000076293945,5855372
2021-01-11,4.929999828338623,4.949999809265137,4.885000228881836,4.909999847412109,4.909999847412109,4257022
2021-01-12,4.909999847412109,4.929999828338623,4.829999923706055,4.829999923706055,4.829999923706055,5147873
2021-01-13,4.829999923706055,4.880000114440918,4.730000019073486,4.800000190734863,4.800000190734863,7427997
2021-01-14,4.800000190734863,4.829999923706055,4.730000019073486,4.800000190734863,4.800000190734863,3209648
2021-01-15,4.849999904632568,4.940000057220459,4.820000171661377,4.880000114440918,4.880000114440918,6751753
2021-01-18,4.860000133514404,4.869999885559082,4.789999961853027,4.809999942779541,4.809999942779541,5542819
2021-01-19,4.829999923706055,4.920000076293945,4.804999828338623,4.880000114440918,4.880000114440918,5267488
2021-01-20,4.860000133514404,4.860000133514404,4.78000020980835,4.820000171661377,4.820000171661377,5166031
2021-01-21,4.849999904632568,4.860000133514404,4.804999828338623,4.849999904632568,4.849999904632568,5238482
2021-01-22,4.800000190734863,4.869999885559082,4.789999961853027,4.849999904632568,4.849999904632568,7991135
2021-01-25,4.849999904632568,4.849999904632568,4.760000228881836,4.769999980926514,4.769999980926514,4594799
2021-01-27,4.760000228881836,4.769999980926514,4.630000114440918,4.630000114440918,4.630000114440918,8926184
2021-01-28,4.599999904632568,4.639999866485596,4.510000228881836,4.550000190734863,4.550000190734863,9387404
2021-01-29,4.639999866485596,4.75,4.489999771118164,4.5,4.5,12867092
2021-02-01,4.480000019073486,4.579999923706055,4.429999828338623,4.519999980926514,4.519999980926514,9713395
2021-02-02,4.550000190734863,4.690000057220459,4.545000076293945,4.670000076293945,4.670000076293945,8122590
2021-02-03,4.75,4.800000190734863,4.699999809265137,4.699999809265137,4.699999809265137,6726235
2021-02-04,4.710000038146973,4.849999904632568,4.690000057220459,4.710000038146973,4.710000038146973,8876858
2021-02-05,4.760000228881836,4.78000020980835,4.664999961853027,4.739999771118164,4.739999771118164,7826289
2021-02-08,4.760000228881836,4.820000171661377,4.730000019073486,4.769999980926514,4.769999980926514,9881517
2021-02-09,4.800000190734863,4.869999885559082,4.769999980926514,4.829999923706055,4.829999923706055,6521344
2021-02-10,4.849999904632568,4.869999885559082,4.764999866485596,4.769999980926514,4.769999980926514,11012181
2021-02-11,4.75,4.809999942779541,4.710000038146973,4.78000020980835,4.78000020980835,7497330
2021-02-12,4.699999809265137,4.75,4.539999961853027,4.550000190734863,4.550000190734863,12531072
2021-02-15,4.599999904632568,4.690000057220459,4.565000057220459,4.579999923706055,4.579999923706055,7405577
2021-02-16,4.659999847412109,4.730000019073486,4.630000114440918,4.699999809265137,4.699999809265137,8752616
2021-02-17,4.71999979019165,4.760000228881836,4.659999847412109,4.730000019073486,4.730000019073486,8865468
2021-02-18,4.730000019073486,4.75,4.670000076293945,4.699999809265137,4.699999809265137,11604347
2021-02-19,4.690000057220459,4.760000228881836,4.619999885559082,4.619999885559082,4.619999885559082,6233704
2021-02-22,4.670000076293945,4.820000171661377,4.664999961853027,4.820000171661377,4.820000171661377,16914731
2021-02-23,4.900000095367432,5.139999866485596,4.889999866485596,5.03000020980835,5.03000020980835,19567843
2021-02-24,5.059999942779541,5.144999980926514,4.980000019073486,5.010000228881836,5.010000228881836,22943412
2021-02-25,5.130000114440918,5.264999866485596,5.050000190734863,5.099999904632568,5.099999904632568,30633037
2021-02-26,4.980000019073486,5.03000020980835,4.900000095367432,5.0,5.0,22099581
2021-03-01,5.019999980926514,5.050000190734863,4.940000057220459,5.0,5.0,9710533
2021-03-02,5.050000190734863,5.050000190734863,4.869999885559082,4.889999866485596,4.889999866485596,13091029
2021-03-03,4.909999847412109,5.059999942779541,4.820000171661377,5.03000020980835,5.03000020980835,13979688
2021-03-04,5.039999961853027,5.099999904632568,4.96999979019165,5.079999923706055,5.079999923706055,8649908
2021-03-05,5.019999980926514,5.135000228881836,5.0,5.099999904632568,5.099999904632568,13607469
2021-03-08,5.139999866485596,5.159999847412109,5.019999980926514,5.019999980926514,5.019999980926514,6439494
2021-03-09,5.090000152587891,5.15500020980835,5.019999980926514,5.139999866485596,5.139999866485596,14766456
2021-03-10,5.199999809265137,5.25,5.139999866485596,5.170000076293945,5.170000076293945,8892334
2021-03-11,5.380000114440918,5.400000095367432,5.179999828338623,5.300000190734863,5.300000190734863,17476342
2021-03-12,5.380000114440918,5.380000114440918,5.25,5.300000190734863,5.300000190734863,7870641
2021-03-15,5.349999904632568,5.5,5.340000152587891,5.5,5.5,16171371
2021-03-16,5.53000020980835,5.590000152587891,5.429999828338623,5.480000019073486,5.480000019073486,11361249
2021-03-17,5.460000038146973,5.474999904632568,5.400000095367432,5.449999809265137,5.449999809265137,6867719
